gvkey,iid,shortintadj,datadate,tic
108132,01,278099968.0000,2012-04-13,SPY
108132,01,17624976.0000,1999-03-15,SPY
108132,01,244795184.0000,2012-06-15,SPY
108132,01,126693824.0000,2005-07-15,SPY
108132,01,213016672.0000,2012-08-15,SPY
108132,01,3310334.0000,1996-03-15,SPY
108132,01,197436528.0000,2012-10-15,SPY
108132,01,124714048.0000,2005-11-15,SPY
108132,01,225168512.0000,2012-12-14,SPY
108132,01,22689888.0000,1999-07-15,SPY
108132,01,221337184.0000,2013-02-15,SPY
108132,01,117361968.0000,2006-03-15,SPY
108132,01,241458304.0000,2013-04-15,SPY
108132,01,985435.0000,1993-11-15,SPY
108132,01,227817904.0000,2013-06-14,SPY
108132,01,98367840.0000,2006-07-14,SPY
108132,01,225576848.0000,2013-08-15,SPY
108132,01,22729728.0000,1999-11-15,SPY
108132,01,256122128.0000,2013-10-15,SPY
108132,01,102198672.0000,2006-11-15,SPY
108132,01,271110912.0000,2013-12-13,SPY
108132,01,3694414.0000,1996-07-15,SPY
108132,01,248202496.0000,2014-02-14,SPY
108132,01,116253568.0000,2007-02-15,SPY
108132,01,243290864.0000,2014-04-15,SPY
108132,01,23390240.0000,2000-03-15,SPY
108132,01,269322496.0000,2014-06-13,SPY
108132,01,140583056.0000,2007-04-13,SPY
108132,01,281440256.0000,2014-08-15,SPY
108132,01,1615131.0000,1994-11-15,SPY
108132,01,291845120.0000,2014-10-15,SPY
108132,01,197394960.0000,2007-06-15,SPY
108132,01,239936480.0000,2014-12-15,SPY
108132,01,12791494.0000,2000-07-14,SPY
108132,01,257003776.0000,2015-02-13,SPY
108132,01,242747168.0000,2007-08-15,SPY
108132,01,273414144.0000,2015-04-15,SPY
108132,01,4730785.0000,1996-11-15,SPY
108132,01,312449792.0000,2015-06-15,SPY
108132,01,189293904.0000,2007-10-15,SPY
108132,01,312848384.0000,2015-08-14,SPY
108132,01,18167600.0000,2000-11-15,SPY
108132,01,332102400.0000,2015-10-15,SPY
108132,01,221438384.0000,2007-12-14,SPY
108132,01,312702720.0000,2015-12-15,SPY
108132,01,491185.0000,1993-07-15,SPY
108132,01,283486208.0000,2016-02-12,SPY
108132,01,261972064.0000,2008-02-15,SPY
108132,01,249430224.0000,2016-04-15,SPY
108132,01,13387286.0000,2001-03-15,SPY
108132,01,248203088.0000,2016-06-15,SPY
108132,01,311032832.0000,2008-04-15,SPY
108132,01,240506112.0000,2016-08-15,SPY
108132,01,6828302.0000,1997-03-14,SPY
108132,01,241090672.0000,2016-10-14,SPY
108132,01,364540928.0000,2008-06-13,SPY
108132,01,219812768.0000,2016-12-15,SPY
